trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
270,training(6).mov,True,right,1,vgpdm_dyn(15)-lvm(35)_final(1).mov,0,110,110,18,,,,,,,,08:30:04:505,08:30:05:236,08:30:08:239,left,08:30:08:606,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
271,tmp_numprim(8)_final(9).mov,False,left,1,training(2).mov,0,111,111,99,,,,,,,,08:30:09:395,08:30:10:124,08:30:13:109,right,08:30:13:827,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
272,training(22).mov,False,right,1,dmp_npsi(25)_final(1).mov,0,112,112,113,,,,,,,,08:30:14:635,08:30:15:345,08:30:18:347,right,08:30:18:798,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
273,training(37).mov,False,right,1,vgpdm_dyn(10)-lvm(30)_final(2).mov,0,113,113,82,,,,,,,,08:30:19:569,08:30:20:299,08:30:23:300,right,08:30:23:701,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
274,vgpdm_dyn(10)-lvm(30)_final(7).mov,False,left,1,training(9).mov,0,114,114,81,,,,,,,,08:30:24:484,08:30:25:202,08:30:28:204,left,08:30:28:555,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
275,vgpdm_dyn(15)-lvm(25)_final(2).mov,True,left,1,training(14).mov,0,115,115,123,,,,,,,,08:30:29:341,08:30:30:056,08:30:33:058,left,08:30:33:408,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
276,vcgpdm_dyn(25)-lvm(10)_final(0).mov,True,left,1,training(6).mov,0,116,116,118,,,,,,,,08:30:34:200,08:30:34:910,08:30:37:897,right,08:30:38:414,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
277,vcgpdm_dyn(10)-lvm(5)_final(9).mov,False,left,1,training(11).mov,0,117,117,8,,,,,,,,08:30:39:190,08:30:39:916,08:30:42:919,right,08:30:43:503,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
278,vgpdm_dyn(10)-lvm(25)_final(8).mov,True,left,1,training(25).mov,0,118,118,37,,,,,,,,08:30:44:275,08:30:45:004,08:30:48:023,left,08:30:48:540,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
279,vgpdm_dyn(10)-lvm(35)_final(9).mov,True,left,1,training(12).mov,0,119,119,71,,,,,,,,08:30:49:351,08:30:50:041,08:30:53:044,left,08:30:53:494,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
280,training(5).mov,False,right,1,vcgpdm_dyn(15)-lvm(15)_final(4).mov,0,120,120,55,,,,,,,,08:30:54:276,08:30:54:995,08:30:57:999,left,08:30:58:366,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
281,vcgpdm_dyn(15)-lvm(30)_final(3).mov,False,left,1,training(21).mov,0,121,121,131,,,,,,,,08:30:59:152,08:30:59:867,08:31:02:886,left,08:31:03:337,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
282,training(3).mov,False,right,1,vcgpdm_dyn(35)-lvm(10)_final(6).mov,0,122,122,128,,,,,,,,08:31:04:125,08:31:04:854,08:31:07:857,left,08:31:08:290,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
283,vgpdm_dyn(30)-lvm(10)_final(5).mov,True,left,1,training(39).mov,0,123,123,107,,,,,,,,08:31:09:060,08:31:09:808,08:31:12:792,left,08:31:13:159,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
284,vcgpdm_dyn(20)-lvm(15)_final(1).mov,True,left,1,training(19).mov,0,124,124,146,,,,,,,,08:31:13:935,08:31:14:661,08:31:17:664,right,08:31:18:031,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
285,vcgpdm_dyn(5)-lvm(20)_final(2).mov,True,left,1,training(12).mov,0,125,125,108,,,,,,,,08:31:18:826,08:31:19:532,08:31:22:551,left,08:31:22:985,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
